Package Name,Size,Percentage of Total Size
google-noto-serif-vf-fonts,3474483,0.046025
appstream,3461985,0.045860
epiphany-runtime,3455883,0.045779
wget,3421025,0.045317
leptonica,3408729,0.045154
libaom,3405493,0.045112
protobuf,3401467,0.045058
stix-fonts,3383246,0.044817
sane-backends,3379662,0.044769
tigervnc-server-minimal,3373381,0.044686
libreoffice-data,3353956,0.044429
python3-paste,3333998,0.044164
ibus-libpinyin,3326392,0.044064
net-snmp-libs,3323749,0.044029
glibmm2.4,3301177,0.043730
cyrus-sasl-lib,3252954,0.043091
tar,3245201,0.042988
tesseract,3230952,0.042799
python3-kickstart,3196705,0.042346
nano,3188068,0.042231
anaconda-gui,3160289,0.041863
binutils-gold,3156947,0.041819
libshaderc,3138977,0.041581
libldb,3080243,0.040803
lttng-ust,3050710,0.040412
gdk-pixbuf2,3029479,0.040131
openssh-clients,3011436,0.039892
parted,2987071,0.039569
libvirt-daemon-driver-qemu,2963946,0.039262
exiv2-libs,2923794,0.038731
gnome-session,2919609,0.038675
python3-firewall,2917456,0.038647
policycoreutils,2892457,0.038315
man-pages,2880537,0.038158
udisks2,2872606,0.038053
cheese-libs,2863770,0.037935
device-mapper-persistent-data,2848581,0.037734
mediawriter,2847241,0.037717
libstdc++,2844036,0.037674
net-tools,2834876,0.037553
ipxe-roms-qemu,2829789,0.037485
python3-dnf,2821144,0.037371
libvirt-daemon,2811969,0.037249
google-carlito-fonts,2772190,0.036722
libexif,2750872,0.036440
libavformat-free,2745448,0.036368
qpdf-libs,2736857,0.036254
gnome-online-accounts,2736662,0.036252
poppler-utils,2715934,0.035977
python3-setools,2709971,0.035898
libreport,2700390,0.035771
xdg-desktop-portal,2700374,0.035771
LibRaw,2689630,0.035629
libetonyek,2677749,0.035471
harfbuzz,2673642,0.035417
qemu-common,2663569,0.035283
ctags,2634423,0.034897
glibc-common,2615552,0.034647
libcdio,2610752,0.034584
fontconfig,2601858,0.034466
kbd-misc,2598925,0.034427
samba-client,2592793,0.034346
libadwaita,2544228,0.033703
gts,2518581,0.033363
urw-base35-nimbus-sans-fonts,2505850,0.033194
python3-simpleaudio,2495868,0.033062
libreoffice-ure-common,2469703,0.032715
libwnck3,2468410,0.032698
xorg-x11-server-Xwayland,2444351,0.032380
systemd-libs,2443416,0.032367
gnome-initial-setup,2438682,0.032304
yelp,2435666,0.032265
dnf,2422706,0.032093
libreoffice-gtk3,2416762,0.032014
gcr3,2408887,0.031910
libical,2400390,0.031797
tracker,2396752,0.031749
ca-certificates,2395522,0.031733
realtek-firmware,2387434,0.031626
libstaroffice,2387008,0.031620
systemd-networkd,2369758,0.031391
libvpx,2367310,0.031359
gnome-contacts,2364386,0.031320
ncurses-libs,2355175,0.031198
systemd-container,2350755,0.031140
aardvark-dns,2337848,0.030969
bind-utils,2317304,0.030697
clucene-core,2301374,0.030486
jomolhari-fonts,2297766,0.030438
libxml2,2293216,0.030378
openvpn,2280037,0.030203
python3-regex,2271367,0.030088
glibc-devel,2264925,0.030003
cryptsetup-libs,2238854,0.029657
rpm-sequoia,2219454,0.029400
libreoffice-gtk4,2215786,0.029352
dhcp-client,2213752,0.029325
liblangtag-data,2208885,0.029260
gdk-pixbuf2-modules,2208401,0.029254
gnome-text-editor,2206845,0.029233
diffutils,2203202,0.029185
evince-libs,2193609,0.029058
iscsi-initiator-utils,2189216,0.029000
open-sans-fonts,2185780,0.028954
python3-chardet,2183178,0.028920
p11-kit,2181723,0.028901
libreoffice-pyuno,2179173,0.028867
firewalld,2150708,0.028490
libv4l,2148377,0.028459
nss,2142284,0.028378
mariadb-connector-c,2133880,0.028267
gnome-calendar,2127498,0.028182
gutenprint-cups,2120685,0.028092
libreoffice-impress,2118943,0.028069
m17n-db,2108526,0.027931
rav1e-libs,2103001,0.027858
SDL2,2102853,0.027856
checkpolicy,2102384,0.027850
quota,2093757,0.027735
gcr-libs,2080295,0.027557
rubberband,2076652,0.027509
libdnf,2068197,0.027397
libgdata,2067469,0.027387
pango,2065088,0.027356
