Package Name,Size,Percentage of Total Size
brasero-libs,1322040,0.0100
dbus-daemon,1316308,0.0100
lksctp-tools,1310127,0.0100
nftables,1305067,0.0100
brlapi,1298392,0.0100
gamemode,1296086,0.0100
libwebp,1295293,0.0100
libcmis,1283945,0.0100
libsoup3,1274804,0.0100
kernel-modules-extra,1274304,0.0100
kernel-modules-extra,1272872,0.0100
libnma,1272628,0.0100
psacct,1267219,0.0100
libheif,1263791,0.0100
nvidia-gpu-firmware,1262393,0.0100
libgsf,1261662,0.0100
libqmi-utils,1261657,0.0100
gnome-bluetooth-libs,1256790,0.0100
libvncserver,1247970,0.0100
zxing-cpp,1246311,0.0100
nss-mdns,1245135,0.0100
httpd-tools,1242639,0.0100
openssh-server,1241872,0.0100
python3-systemd,1240914,0.0100
exfatprogs,1232654,0.0100
zeromq,1224528,0.0100
gnome-connections,1223172,0.0100
systemd-pam,1217933,0.0100
urw-base35-gothic-fonts,1216723,0.0100
libmbim,1212276,0.0100
cpio,1211102,0.0100
libX11-common,1208298,0.0100
liberation-mono-fonts,1205335,0.0100
libudisks2,1196768,0.0100
usermode,1196081,0.0100
libbrotli,1194674,0.0100
rasqal,1190949,0.0100
elfutils-libelf,1183265,0.0100
zip,1176103,0.0100
libgcrypt,1175802,0.0100
wavpack,1173022,0.0100
libgpg-error,1168182,0.0100
python3-dnf-plugins-core,1164013,0.0100
redland,1163424,0.0100
NetworkManager-vpnc,1162652,0.0100
libva,1159923,0.0100
orc,1157798,0.0100
qemu-pr-helper,1153703,0.0100
gnome-remote-desktop,1151279,0.0100
libpwquality,1149930,0.0100
gupnp-dlna,1149714,0.0100
catatonit,1145869,0.0100
ostree-libs,1145702,0.0100
qemu-guest-agent,1142659,0.0100
mdadm,1138807,0.0100
gdisk,1138565,0.0100
qt6-qtsvg,1138553,0.0100
python3-click,1132298,0.0100
hunspell-en,1128580,0.0100
grep,1120983,0.0100
authselect-libs,1113336,0.0100
NetworkManager-pptp,1112300,0.0100
gnome-logs,1103903,0.0100
urw-base35-nimbus-mono-ps-fonts,1100338,0.0100
mpg123-libs,1094780,0.0100
vapoursynth-libs,1085130,0.0100
libtpms,1084638,0.0100
gobject-introspection,1084237,0.0100
libgnomekbd,1078684,0.0100
libgee,1075071,0.0100
realmd,1071074,0.0100
xorg-x11-fonts-ISO8859-1-100dpi,1070851,0.0100
flatpak-libs,1064526,0.0100
libarchive,1063240,0.0100
libvirt-daemon-driver-network,1053874,0.0100
bash-completion,1053043,0.0100
librevenge,1052901,0.0100
bcache-tools,1037727,0.0100
openldap,1035939,0.0100
sssd-ipa,1035146,0.0100
swtpm-tools,1029961,0.0100
pulseaudio-utils,1029832,0.0100
dos2unix,1028693,0.0100
libnfsidmap,1018491,0.0100
libsolv,1013266,0.0100
pipewire-jack-audio-connection-kit-libs,1005429,0.0100
gcr3-base,1004474,0.0100
libstemmer,1004300,0.0100
libmodulemd,1004112,0.0100
m17n-lib,995132,0.0100
libtomcrypt,995053,0.0100
ibus-libs,985290,0.0100
qgnomeplatform-qt5,980767,0.0100
libgtop2,976942,0.0100
python3-urllib3,974607,0.0100
nettle,969166,0.0100
flex,968909,0.0100
freetype,966335,0.0100
sed,965343,0.0100
libcdr,963039,0.0100
zram-generator,962217,0.0100
elfutils-libs,961637,0.0100
