Package Name,Size,Percentage of Total Size
libglvnd-glx,1399078,.018500
taglib,1392942,.018400
p11-kit-server,1390657,.018400
gawk-all-langpacks,1389907,.018400
abrt-addon-ccpp,1369926,.018100
gettext-libs,1345224,.017800
lame-libs,1344847,.017800
libreoffice-graphicfilter,1342850,.017700
libvirt-client,1338446,.017700
plymouth,1334381,.017600
tmux,1329376,.017600
fprintd,1327481,.017500
spice-server,1327215,.017500
libvorbis,1326069,.017500
glib-networking,1323261,.017500
colord-libs,1323128,.017500
brasero-libs,1322040,.017500
dbus-daemon,1316308,.017400
lksctp-tools,1310127,.017300
nftables,1305067,.017200
brlapi,1298392,.017100
gamemode,1296086,.017100
libwebp,1295293,.017100
libcmis,1283945,.017000
libsoup3,1274804,.016800
kernel-modules-extra,1274304,.016800
kernel-modules-extra,1272872,.016800
libnma,1272628,.016800
psacct,1267219,.016700
libheif,1263791,.016700
nvidia-gpu-firmware,1262393,.016700
libgsf,1261662,.016700
libqmi-utils,1261657,.016700
gnome-bluetooth-libs,1256790,.016600
libvncserver,1247970,.016500
zxing-cpp,1246311,.016500
nss-mdns,1245135,.016400
httpd-tools,1242639,.016400
openssh-server,1241872,.016400
python3-systemd,1240914,.016400
exfatprogs,1232654,.016300
zeromq,1224528,.016200
gnome-connections,1223172,.016200
systemd-pam,1217933,.016100
urw-base35-gothic-fonts,1216723,.016100
libmbim,1212276,.016000
cpio,1211102,.016000
libX11-common,1208298,.016000
liberation-mono-fonts,1205335,.015900
libudisks2,1196768,.015800
usermode,1196081,.015800
libbrotli,1194674,.015800
rasqal,1190949,.015700
elfutils-libelf,1183265,.015600
zip,1176103,.015500
libgcrypt,1175802,.015500
wavpack,1173022,.015500
libgpg-error,1168182,.015400
python3-dnf-plugins-core,1164013,.015400
redland,1163424,.015400
NetworkManager-vpnc,1162652,.015400
libva,1159923,.015300
orc,1157798,.015300
qemu-pr-helper,1153703,.015200
gnome-remote-desktop,1151279,.015200
libpwquality,1149930,.015200
gupnp-dlna,1149714,.015200
catatonit,1145869,.015100
ostree-libs,1145702,.015100
qemu-guest-agent,1142659,.015100
mdadm,1138807,.015000
gdisk,1138565,.015000
qt6-qtsvg,1138553,.015000
python3-click,1132298,.014900
hunspell-en,1128580,.014900
grep,1120983,.014800
authselect-libs,1113336,.014700
NetworkManager-pptp,1112300,.014700
gnome-logs,1103903,.014600
urw-base35-nimbus-mono-ps-fonts,1100338,.014500
mpg123-libs,1094780,.014500
vapoursynth-libs,1085130,.014300
libtpms,1084638,.014300
gobject-introspection,1084237,.014300
libgnomekbd,1078684,.014200
libgee,1075071,.014200
realmd,1071074,.014100
xorg-x11-fonts-ISO8859-1-100dpi,1070851,.014100
flatpak-libs,1064526,.014100
libarchive,1063240,.014000
libvirt-daemon-driver-network,1053874,.013900
bash-completion,1053043,.013900
librevenge,1052901,.013900
bcache-tools,1037727,.013700
openldap,1035939,.013700
sssd-ipa,1035146,.013700
swtpm-tools,1029961,.013600
pulseaudio-utils,1029832,.013600
dos2unix,1028693,.013600
libnfsidmap,1018491,.013400
libsolv,1013266,.013400
pipewire-jack-audio-connection-kit-libs,1005429,.013300
gcr3-base,1004474,.013300
libstemmer,1004300,.013300
libmodulemd,1004112,.013300
m17n-lib,995132,.013100
libtomcrypt,995053,.013100
ibus-libs,985290,.013000
qgnomeplatform-qt5,980767,.012900
libgtop2,976942,.012900
python3-urllib3,974607,.012900
nettle,969166,.012800
flex,968909,.012800
freetype,966335,.012800
sed,965343,.012700
libcdr,963039,.012700
zram-generator,962217,.012700
elfutils-libs,961637,.012700
libthai,958342,.012600
cracklib,957843,.012600
libfprint,957748,.012600
libnice,957592,.012600
nss-softokn-freebl,952958,.012600
duktape,951504,.012600
qt5-qtgraphicaleffects,950835,.012500
srt-libs,946226,.012500
cups-libs,946022,.012500
qemu-virtiofsd,943829,.012500
libdav1d,942335,.012400
qemu-device-display-vhost-user-gpu,937405,.012400
python3-pyyaml,932150,.012300
libglusterfs0,928664,.012300
python3-gobject-base-noarch,928244,.012200
python3-dateutil,927214,.012200
ibus-anthy-python,927128,.012200
libvirt-daemon-driver-nwfilter,917459,.012100
curl,906688,.012000
libplacebo,906091,.012000
vamp-plugin-sdk,903084,.011900
libnumbertext,897989,.011800
libsepol,895635,.011800
lua,892493,.011800
libavutil-free,891116,.011800
libsecret,889968,.011700
python3-pycparser,888298,.011700
libxslt,886575,.011700
rpm-libs,885732,.011700
osinfo-db-tools,885423,.011700
python-systemd-doc,881444,.011600
python-setuptools-wheel,880927,.011600
python3-libreport,880287,.011600
libtheora,875174,.011500
libwpd,873902,.011500
gc,872928,.011500
libtiff,871049,.011500
pcre2,863002,.011400
chrony,858296,.011300
raptor2,855905,.011300
squashfs-tools,852592,.011200
dosfstools,852207,.011200
oniguruma,850549,.011200
libvirt-daemon-driver-nodedev,850515,.011200
libvirt-daemon-driver-interface,850065,.011200
libvirt-daemon-driver-secret,849851,.011200
libodfgen,848198,.011200
enchant2,844246,.011100
dconf,841138,.011100
dbus-tools,839580,.011100
rsync,836146,.011000
dnsmasq,835940,.011000
qgnomeplatform-qt6,834740,.011000
upower,831674,.011000
ethtool,829223,.010900
libao,827415,.010900
libmtp,822205,.010800
less,819531,.010800
vte291,819377,.010800
gpgme,817898,.010800
libzstd,815830,.010800
deltarpm,815780,.010800
geoclue2,815356,.010800
volume_key-libs,813547,.010700
xmlsec1,810774,.010700
highway,809906,.010700
xdg-desktop-portal-gnome,809773,.010700
boost-locale,808465,.010700
avahi-tools,806632,.010600
python3-libselinux,806554,.010600
efivar-libs,806426,.010600
glx-utils,803990,.010600
webrtc-audio-processing,802926,.010600
libppd,796017,.010500
gettext-runtime,795171,.010500
wireplumber,794178,.010500
glusterfs-fuse,792864,.010500
gnome-desktop4,790199,.010400
jemalloc,789039,.010400
e2fsprogs-libs,782559,.010300
python3-dbus,779799,.010300
libreoffice-pdfimport,776280,.010200
xorg-x11-drv-ati,771844,.010200
cryptsetup,769147,.010100
antiword,768856,.010100
pcre,764868,.010100
xvidcore,763279,.010100
flac-libs,760471,.010000
nspr,759808,.010000
gnupg2-smime,756017,.010000
gnome-menus,753805,.009900
NetworkManager-openvpn-gnome,752855,.009900
bluez-obexd,751840,.009900
python3-mako,751194,.009900
fuse,749559,.009900
unzip,745787,.009800
libadwaita-qt6,740308,.009800
gmp,739335,.009700
python3-pycurl,738336,.009700
setup,737479,.009700
pixman,736375,.009700
gnome-weather,735518,.009700
gnome-abrt,733049,.009700
lsof,731078,.009600
acl,722543,.009500
libusal,722122,.009500
systemd-resolved,721185,.009500
sssd-ad,718618,.009500
libwsman1,716115,.009400
